District	HASC	Code	Population	Capital	Former
Omna	AF.PK.OM	2907	10,035		
Pachir wa Agam	AF.NG.PA	0807	31,292		
Paghman	AF.KB.PA	0108	117,615		
Panjab	AF.BM.PA	2805	65,821		
Panjwayi	AF.KD.PA	2408	104,451		
Paryan	AF.PJ.PA	3304			Hisa-i-Awali Panjsher
Pasaband	AF.GR.PA	2706	65,821		
Pashtun Kot	AF.FB.PK	1802	157,324		
Pashtun Zarghun	AF.HR.PZ	2004	76,504		
Puli Alam	AF.LW.PA	0501	86,323		
Puli Hisar	AF.BL.PH	1302	(24,200)		Andarab
Puli Khumri	AF.BL.PK	1301	164,338		
Pur Chaman	AF.FH.PC	2104	38,414		
Pusht Rod	AF.FH.PR	2111	32,263		
Qadis	AF.BG.QD	1903	62,908		
Qala-i-Kah	AF.FH.QK	2108	21,365		
Qala-i-Naw	AF.BG.QN	1901	37,982		
Qalandar	AF.KT.QA	3212	5,935		
Qalat	AF.ZB.QA	2501	28,379	Qalat-e Ghilzay	
Qalay-i-Zal	AF.KZ.QZ	1403	58,268		
Qarabagh	AF.GZ.QA	0613	109,307		
Qarabagh	AF.KB.QB	0105	77,583		
Qaramqol	AF.FB.QQ	1810	16,833		
Qarghayi	AF.LA.QA	0902	93,445		
Qarqin	AF.JW.QA	1705	62,476		
Qaysar	AF.FB.QA	1804	120,853		
Qurghan	AF.FB.QU	1814	(52,500)		Andkhoy
Qush Tepa	AF.JW.SC	1711	(14,300)		Shibirghan
Ragh	AF.BD.RA	1112	37,443		
Rashidan	AF.GZ.RA	0617	(17,800)		Bahram, Waeez Shahid
Reg	AF.HM.RE	2314	21,797		Khanashin
Reg	AF.KD.RE	2409	1,619		
Rodat	AF.NG.RO	0809	87,402		
Rukha	AF.PJ.RU	3307			Hisa-i-Duwumi Panjsher, Panjsher
Rustaq	AF.TK.RU	1208	139,628		
Ruyi Du Ab	AF.SM.RA	1505	35,069		
Sabari	AF.KT.SB	3209	30,105		
Saghar	AF.GR.SA	2704	27,084		
Salang	AF.PV.SL	0303	22,228		
Sangcharak	AF.SP.SA	3102	135,204		
Sangin	AF.HM.SA	2313	49,636		
Sangi Takht	AF.DK.ST	3408			Daykundi, OZ
Sar Hawza	AF.PK.SH	2914	19,207		
Sari Pul	AF.SP.SP	3101	140,383		
Sarobi	AF.PK.SB	2908	10,359		
Sayd Abad	AF.VR.SA	0407	78,123		
Sayd Khel	AF.PV.SK	0310	(43,600)		Jabalussaraj
Sayghan	AF.BM.SA	2807	(16,800)		Kahmard, BL
Sayid Karam	AF.PT.SK	0722	75,425		
Sayyad	AF.SP.SY	3106	43,593		
Shahidi Hassas	AF.OZ.SH	2608	50,283		
Shahjoy	AF.ZB.SJ	2502	48,449		
Shahrak	AF.GR.SH	2702	59,995		
Shahri Buzurg	AF.BD.SB	1113	41,651		
Shahristan	AF.DK.SR	3409	107,580		OZ
Shah Wali Kot	AF.KD.SW	2403	35,932		
Shakardara	AF.KB.SD	0107	80,281		
Shamal	AF.KT.SM	3213	8,417		Shamul, PT
Shamulzayi	AF.ZB.SZ	2509	37,011		
Sharan	AF.PK.SN	2901	52,549	Zareh Sharan	
Shaygal wa Shiltan	AF.KR.SS	1007	(15,400)		Chapa Dara
Shekh Ali	AF.PV.SA	0306	27,731		
Sherzad	AF.NG.SZ	0804	47,801		
Shibar	AF.BM.SH	2802	26,544		
Shibirghan	AF.JW.SH	1701	145,994		
Shib Koh	AF.FH.SK	2110	16,401		
Shighnan	AF.BD.SG	1109	23,631		
Shiki	AF.BD.SK	1121	(26,600)		Fayz Abad
Shindand	AF.HR.SH	2014	110,602		
Shinkay	AF.ZB.SK	2507	19,531		
Shinwar	AF.NG.SW	0813	35,069		
Shinwari	AF.PV.SH	0304	29,134		
Shirin Tagab	AF.FB.ST	1808	64,958		
Sholgara	AF.BK.SL	1609	105,638		
Shorabak	AF.KD.SR	2410	9,496		
Shortepa	AF.BK.SR	1604	35,932		
Shuhada	AF.BD.SD	1122	(31,900)		Baharak
Shutul	AF.PJ.SH	3305			Panjsher
Shwak	AF.PT.SW	0703	7,230		
Sirkanay	AF.KR.SI	1016	21,797		
Sozma Qala	AF.SP.SQ	3105	47,046		
Spera	AF.KT.SP	3204	15,214		
Spin Boldak	AF.KD.SB	2411	40,464		
Surkhi Parsa	AF.PV.SP	0307	45,751		
Surkh Rod	AF.NG.SR	0802	110,278		
Surobi	AF.KB.SU	0112	68,843		
Tagab	AF.BD.TA	1123	(22,600)		Fayz Abad
Tagab	AF.KP.TA	0205	60,966		
Tala wa Barfak	AF.BL.TB	1305	20,610		
Taluqan	AF.TK.TA	1201	172,107		
Tani	AF.KT.TA	3203	33,234		
Tarnak wa Jaldak	AF.ZB.TJ	2506	14,135		
Taywara	AF.GR.TA	2705	69,706		
Tere Zayi	AF.KT.TZ	3207	27,623		
Tirin Kot	AF.OZ.TK	2601	62,692		
Tishkan	AF.BD.TI	1124	(22,800)		Kishim
Tulak	AF.GR.TU	2703	40,788		
Turwo	AF.PK.TU	2917	(1,700)		Wazakhwa
Unaba	AF.PJ.UN	3306	(50,900)	Panjsher	Panjsher
Urgun	AF.PK.UR	2911	45,751		
Waghaz	AF.GZ.WA	0618	(27,900)		Muqur
Wakhan	AF.BD.WA	1106	13,164	Khandood	
Wali Muhammadi Shahid	AF.GZ.WM	0619	(17,100)		Waeez Shahid, Ghazni
Wama	AF.NR.WM	3006	7,985		
Waras	AF.BM.WA	2806	100,135		
Warduj	AF.BD.WJ	1125	(16,900)		Baharak
Warsaj	AF.TK.WA	1205	29,566		
Washer	AF.HM.WA	2307	12,841		
Wata Pur	AF.KR.WP	1008	(17,200)		Asad Abad
Waygal	AF.NR.WG	3003	8,417		
Waza Khwa	AF.PK.WA	2904	20,825		
Wor Mamay	AF.PK.WO	2905	2,913		
Yaftali Sufla	AF.BD.YS	1126	(39,700)		Fayz Abad
Yahya Khel	AF.PK.YY	2918	(14,600)		Zarghun Shahr
Yakawlang	AF.BM.YA	2804	79,957		
Yamgan	AF.BD.YG	1127	(20,700)		Baharak
Yangi Qala	AF.TK.YQ	1210	72,404		
Yawan	AF.BD.YW	1128	(26,900)		Ragh
Yosuf Khel	AF.PK.YK	2919	(11,400)		Zarghun Shahr
Zana Khan	AF.GZ.ZK	0616	10,359	Dado	
Zaranj	AF.NM.ZA	2201	42,298		
Zarghun Shahr	AF.PK.ZS	2902	59,024		
Zari	AF.BK.ZA	1603	(31,400)		Kishindih
Zebak	AF.BD.ZE	1105	6,582		
Zhari	AF.KD.ZH	2416	(49,500)		Maywand, Panjwayi
Zinda Jan	AF.HR.ZJ	2010	40,140		
Ziruk	AF.PK.ZI	2912	16,078		
Zurmat	AF.PT.ZU	0702	93,769		
